location,origin_date,target_date,output_type_id,value,output_type,target
Kern,2024-09-30,2024-11-30,10,0.98696,cdf,WNV cases
Kern,2024-09-30,2024-11-30,15,0.99513,cdf,WNV cases
Kern,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Orange,2024-09-30,2024-11-30,0,0.61911,cdf,WNV cases
Orange,2024-09-30,2024-11-30,1,0.80788,cdf,WNV cases
Orange,2024-09-30,2024-11-30,2,0.87416,cdf,WNV cases
Orange,2024-09-30,2024-11-30,3,0.91142,cdf,WNV cases
Orange,2024-09-30,2024-11-30,4,0.93538,cdf,WNV cases
Orange,2024-09-30,2024-11-30,5,0.95169,cdf,WNV cases
Orange,2024-09-30,2024-11-30,6,0.96332,cdf,WNV cases
Orange,2024-09-30,2024-11-30,8,0.97988,cdf,WNV cases
Orange,2024-09-30,2024-11-30,10,0.9876,cdf,WNV cases
Orange,2024-09-30,2024-11-30,15,0.99628,cdf,WNV cases
Orange,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,0,0.82781,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,1,0.82781,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,2,0.82781,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,3,0.92168,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,4,0.92168,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,5,0.95877,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,6,0.95877,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,8,0.97678,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,10,0.98645,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,15,0.99694,cdf,WNV cases
Tulare,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,0,0.51549,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,1,0.79277,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,2,0.87184,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,3,0.913,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,4,0.93826,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,5,0.95363,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,6,0.96568,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,8,0.98047,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,10,0.98832,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,15,0.99674,cdf,WNV cases
Los Angeles,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,0,0.6889,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,1,0.79202,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,2,0.8803,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,3,0.90467,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,4,0.9367,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,5,0.94764,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,6,0.96336,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,8,0.9778,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,10,0.98615,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,15,0.9957,cdf,WNV cases
Sacramento,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Merced,2024-09-30,2024-12-31,0,0.87278,cdf,WNV cases
Merced,2024-09-30,2024-12-31,1,0.87278,cdf,WNV cases
Merced,2024-09-30,2024-12-31,2,0.87278,cdf,WNV cases
